Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Monday,11/22/2021,Arson,11,,"Arson, Blade, Boogeyman, Carnival, Cycle Bar, Freighter, Puck, Rabbit, Retina, Rocketman, Slice",,11,2021
Wednesday,11/24/2021,Freighter,10,1,"Freighter, Blade, Carnival, Cycle Bar, Puck, Rocketman, Arson, Tater, Scalp, Phalt (FNG)",,11,2021
Monday,11/29/2021,Arson,10,,"Arson, Blade, Boogeyman, Carnival, Cycle Bar, Daft, Rabbit, Slice, Trauma, Rocketman",,11,2021
Wednesday,12/1/2021,Paneer,11,,"Paneer, Freighter, Slice, Puck (R), Samwise, Carnival, Blade, Arson, PrinceSS, Halitosis, Rocketman",,12,2021
Monday,12/6/2021,Trauma,12,,"Rabbit, Cycle Bar, Carnival, Boogeyman, Puck, Squid, Rocketman, Halitosis, Slice, Longhorn, Hans",,12,2021
Wednesday,12/8/2021,Halitosis,6,,"PrinceSS, Rocketman, Carnival, Blade, Longhorn",,12,2021
Monday,12/13/2021,Arson,15,1,"Boogeyman, Blade, Carnival, Cycle Bar, Daft, Freighter, Halitosis, Joanna, Longhorn, PrinceSS, Retina, Rocketman, Slice, Boo Boo, Arson",,12,2021
Wednesday,12/15/2021,Blade,10,,"Blade, Freighter, Carnival, Rocketman, Longhorn, Joanna, Paneer, Retina, Slice, Boo Boo",,12,2021
Monday,12/20/2021,Boogeyman,10,,"Boogeyman, Blade, Retina, Halitosis, Grout, Carnival, Daft, Red Elephant, Rocketman, Scalp",,12,2021
Wednesday,12/22/2021,"Slice, Freighter, Paneer",10,,"Slice, Freighter, Paneer, Carnival, Scalp, Retina, Roblox (DR), Red Elephant, Grout, Rocketman",,12,2021
Monday,12/27/2021,Blade,8,,"Blade, Carnival, Grout, Rocketman, Boogeyman, Boo Boo, Big Sky, Halitosis",,12,2021
Wednesday,12/29/2021,Tater,10,,"Tater, Freighter, Halitosis, Grout, Rocketman, Arson, Blade, Paneer, PrinceSS, Boo Boo",,12,2021
